"","state_name","state_postal","KWH","DOLLAREL","HDD65","CDD65","UATYP10","TYPEHUQ","MONEYPY","ENERGYASST20","BA_climate","DIVISION","YEARMADERANGE","KOWNRENT","COOLCNTL","HEATCNTL","LGTINLED","SMARTMETER","TYPETHERM","ATHOME"
"1","New Mexico","NM",12521.48,1955.06,3844,1679,"U",2,13,-2,"Mixed-Dry","Mountain South",4,1,1,1,2,0,1,0
"2","Arkansas","AR",5243.05,713.27,3766,1458,"U",5,6,-2,"Mixed-Humid","West South Central",5,2,4,4,2,0,1,5
"3","New Mexico","NM",2387.64,334.51,3819,1696,"U",5,11,-2,"Mixed-Dry","Mountain South",3,2,1,1,0,0,1,3
"4","South Carolina","SC",9275.07,1424.86,2614,1718,"U",2,10,-2,"Mixed-Humid","South Atlantic",5,1,1,1,4,1,1,5
"5","New Jersey","NJ",5869.7,1087,4219,1363,"U",5,16,-2,"Mixed-Humid","Middle Atlantic",3,2,2,1,3,-4,2,5
"6","Texas","TX",14351.64,1895.66,901,3558,"U",2,15,-2,"Hot-Humid","West South Central",6,2,3,3,2,1,3,5
"7","Oklahoma","OK",14480.35,1418.04,3148,2128,"U",2,11,-2,"Mixed-Humid","West South Central",2,2,2,2,4,1,1,5
"8","Mississippi","MS",12147.3,1237.05,1825,2374,"C",5,8,-2,"Mixed-Humid","East South Central",7,2,-2,2,1,1,1,5
"9","District of Columbia","DC",3969.96,537.68,4233,1159,"U",5,14,-2,"Mixed-Humid","South Atlantic",7,2,2,1,0,0,2,5
"10","Arizona","AZ",3632.4,625.41,1502,3812,"U",5,9,-2,"Hot-Dry","Mountain South",5,2,2,2,2,-4,1,0
"11","California","CA",7634.39,65.11,1467,2108,"U",2,12,-2,"Hot-Dry","Pacific",4,1,1,4,1,1,2,5
"12","Texas","TX",9657.64,1136.61,2148,3037,"U",2,7,-2,"Hot-Dry","West South Central",8,1,1,1,4,0,1,5
"13","Louisiana","LA",9639.93,1004.2,1246,2671,"U",2,13,-2,"Hot-Humid","West South Central",4,1,1,1,2,0,1,5
"14","Minnesota","MN",8967.17,644.85,10298,189,"R",2,2,1,"Very-Cold","West North Central",2,1,1,2,2,1,1,5
"15","Vermont","VT",3524.72,842.06,7355,284,"R",2,11,-2,"Cold","New England",2,1,4,1,4,-4,2,1
"16","California","CA",9922.22,2162.73,1195,2117,"U",3,9,-2,"Hot-Dry","Pacific",3,2,2,2,4,-4,1,5
"17","Rhode Island","RI",9002.87,1988.48,5431,869,"R",2,16,-2,"Cold","New England",5,1,3,3,3,0,2,5
"18","New Mexico","NM",5774.08,622.02,5740,562,"U",2,16,-2,"Mixed-Dry","Mountain South",6,1,4,1,2,0,1,5
"19","Arkansas","AR",9972.38,1257.34,3078,1764,"U",3,9,-2,"Mixed-Humid","West South Central",4,2,2,2,4,-4,2,5
"20","Louisiana","LA",15768.8,1549.78,1135,2850,"U",2,14,-2,"Hot-Humid","West South Central",3,2,2,2,3,-4,1,5
"21","Illinois","IL",1594.69,377.64,5491,1227,"U",3,2,0,"Cold","East North Central",3,2,1,2,1,1,1,5
"22","Illinois","IL",6443.51,910.09,5481,1237,"U",5,15,-2,"Cold","East North Central",4,1,4,5,4,0,0,5
"23","Maine","ME",11015.2,1730.06,6340,635,"R",2,16,-2,"Cold","New England",7,1,4,1,4,-4,2,5
"24","South Dakota","SD",9956.64,1142.86,6728,886,"R",2,14,-2,"Cold","West North Central",6,1,3,3,3,0,2,5
"25","Illinois","IL",5103.92,664.17,5328,1051,"R",2,1,1,"Cold","East North Central",1,1,1,1,1,-4,2,5
"26","Massachusetts","MA",12737.88,2348.58,5419,795,"U",2,15,-2,"Cold","New England",5,1,5,4,1,-4,2,5
"27","Minnesota","MN",9976.59,1307.94,7115,881,"U",2,16,-2,"Cold","West North Central",7,1,1,1,3,-4,2,5
"28","Massachusetts","MA",10247.86,186.16,6216,734,"C",2,9,1,"Cold","New England",1,1,4,4,2,-4,1,5
"29","Florida","FL",15747.04,1747.09,676,3628,"C",2,9,-2,"Hot-Humid","South Atlantic",6,1,2,2,1,1,3,5
"30","Ohio","OH",11907.74,1442.29,5354,997,"R",2,12,-2,"Cold","East North Central",4,1,4,1,3,0,1,5
"31","Rhode Island","RI",5930.6,1347.02,5192,878,"U",2,15,-2,"Cold","New England",2,1,2,2,1,1,1,5
"32","Nebraska","NE",8819.63,1036.65,6430,955,"C",2,13,-2,"Cold","West North Central",3,1,1,1,1,1,2,0
"33","Arizona","AZ",26763.69,3497.17,1304,4424,"U",2,13,-2,"Hot-Dry","Mountain South",8,1,3,-2,1,0,3,5
"34","Minnesota","MN",11758.93,1523.05,7239,872,"U",2,16,-2,"Cold","West North Central",1,1,3,3,2,0,2,0
"35","Vermont","VT",9666.78,437.54,6689,802,"U",2,11,-2,"Cold","New England",2,1,-2,1,1,0,2,5
"36","Oklahoma","OK",8167.71,913.75,3137,2158,"U",2,15,-2,"Mixed-Humid","West South Central",2,1,3,3,2,-4,3,5
"37","Illinois","IL",4423.71,624.81,6112,943,"U",3,14,-2,"Cold","East North Central",5,1,4,2,2,-4,2,5
"38","Virginia","VA",22773.26,2579.28,3753,1454,"U",2,16,-2,"Mixed-Humid","South Atlantic",2,1,2,2,2,-4,2,5
"39","Wyoming","WY",1721.15,364.17,6690,855,"C",3,12,-2,"Cold","Mountain North",4,2,2,2,3,0,1,0
"40","Pennsylvania","PA",13836.75,1712.81,5356,939,"U",2,11,-2,"Cold","Middle Atlantic",4,1,4,2,3,-4,1,5
"41","Texas","TX",13253.26,1405.98,2148,2515,"U",2,16,-2,"Hot-Humid","West South Central",8,1,3,3,4,-4,2,5
"42","Hawaii","HI",5712.82,1644.89,5,2987,"U",2,14,-2,"Hot-Humid","Pacific",2,2,-2,-2,3,0,-2,0
"43","California","CA",5938.58,1379.96,3599,1129,"C",1,9,1,"Hot-Dry","Pacific",4,1,2,2,4,0,1,5
"44","New Hampshire","NH",4134.59,858.5,7088,449,"C",2,13,-2,"Cold","New England",1,1,-2,2,2,0,1,5
"45","Michigan","MI",6002.88,1046.1,6329,774,"U",2,15,-2,"Cold","East North Central",7,1,1,1,1,1,3,2
"46","California","CA",9658.17,2446.33,1061,1042,"U",2,15,-2,"Hot-Dry","Pacific",1,1,4,2,0,-4,1,5
"47","Maryland","MD",9046.21,1183.31,3432,1640,"U",3,14,0,"Mixed-Humid","South Atlantic",7,1,3,2,4,1,3,5
"48","New York","NY",5265.1,777.26,6052,837,"U",3,11,-2,"Cold","Middle Atlantic",9,2,-2,1,4,-4,1,5
"49","Maryland","MD",9367.16,1389.12,3561,1501,"U",3,9,-2,"Mixed-Humid","South Atlantic",6,2,4,4,0,0,2,0
"50","Arizona","AZ",4579.27,784.69,1326,4097,"U",2,14,0,"Hot-Dry","Mountain South",6,1,2,2,4,0,2,5
"51","Michigan","MI",13204.43,2390.43,6153,748,"U",2,15,-2,"Cold","East North Central",6,1,3,3,4,1,2,5
"52","Virginia","VA",4540.79,638.56,4265,1134,"U",2,16,-2,"Mixed-Humid","South Atlantic",5,1,2,2,2,0,1,5
"53","Maryland","MD",7159.45,869.82,3776,1526,"U",3,15,-2,"Mixed-Humid","South Atlantic",1,1,1,1,2,-4,2,5
"54","Michigan","MI",8370.64,1502.78,6277,712,"U",1,11,0,"Cold","East North Central",4,1,1,3,2,1,2,3
"55","Colorado","CO",8654.3,1049.02,5757,828,"U",2,15,-2,"Cold","Mountain North",6,1,4,3,3,1,2,5
"56","North Carolina","NC",9227.24,1102.84,4014,675,"U",2,9,-2,"Mixed-Humid","South Atlantic",3,1,1,1,1,-4,2,5
"57","New York","NY",4472.09,1276.88,4201,1336,"U",4,14,-2,"Mixed-Humid","Middle Atlantic",8,2,2,3,4,1,2,0
"58","Illinois","IL",12365.78,2071.37,5256,1151,"R",2,15,-2,"Cold","East North Central",4,1,1,1,3,1,2,5
"59","Kentucky","KY",7836.28,939.24,3903,1216,"C",4,5,0,"Mixed-Humid","East South Central",6,2,1,1,1,-4,1,5
"60","Colorado","CO",5894.3,811.04,5573,876,"U",2,9,-2,"Cold","Mountain North",5,1,5,2,0,-4,2,5
"61","New York","NY",11449.39,2881.34,4183,1357,"U",3,2,-2,"Mixed-Humid","Middle Atlantic",7,2,-2,5,4,1,0,0
"62","North Dakota","ND",5891.2,558.46,8759,409,"R",5,12,-2,"Very-Cold","West North Central",8,2,-2,2,3,-4,2,0
"63","California","CA",8912.72,1542.53,2177,1891,"U",2,15,-2,"Hot-Dry","Pacific",1,1,3,3,2,1,2,5
"64","Georgia","GA",25373.39,3226.06,2417,1831,"R",1,6,-2,"Mixed-Humid","South Atlantic",8,1,1,1,3,1,2,3
"65","West Virginia","WV",7195.98,1362.66,4575,1005,"R",1,1,-2,"Cold","South Atlantic",4,2,4,4,3,0,0,5
"66","Texas","TX",38330.12,4077.66,1133,3452,"U",2,16,0,"Hot-Humid","West South Central",4,1,1,1,1,1,2,5
"67","Rhode Island","RI",9096.26,1640.77,5365,755,"U",2,13,-2,"Cold","New England",6,1,2,2,1,1,3,4
"68","Vermont","VT",4561.67,1032.3,6431,575,"R",2,12,-2,"Cold","New England",3,1,4,1,3,-4,1,5
"69","Michigan","MI",3311.96,620.66,5709,838,"R",4,12,-2,"Cold","East North Central",6,2,2,1,4,-4,2,0
"70","Maryland","MD",4575.84,561.92,3809,1537,"U",3,7,-2,"Mixed-Humid","South Atlantic",1,1,-2,4,0,-4,1,5
"71","North Dakota","ND",4507,579.3,8076,598,"U",5,10,-2,"Cold","West North Central",3,2,2,2,1,-4,1,5
